cycle,ipc-0,ipc-1,ipc-2,ipc-3,ipc-4,ipc-5
1768000,3.984,4.256,4.128,4.016,0.000,0.000
1770000,4.128,4.048,3.872,4.256,0.000,0.000
1772000,3.968,4.096,4.064,4.016,0.000,0.000
1774000,4.048,3.904,4.080,3.872,0.000,0.000
1776000,4.256,4.208,4.112,4.128,0.000,0.000
1778000,3.984,3.968,4.048,4.112,0.000,0.000
1780000,3.952,3.984,4.016,4.256,0.000,0.000
1782000,4.128,4.064,4.080,3.936,0.000,0.000
1784000,4.016,4.224,4.144,3.904,0.000,0.000
1786000,4.176,3.936,4.192,4.144,0.000,0.000
1788000,3.904,4.032,3.888,3.984,0.000,0.000
1790000,4.096,4.192,4.160,4.128,0.000,0.000
1792000,4.000,3.984,3.984,4.000,0.000,0.000
1794000,4.208,3.968,4.032,4.112,0.000,0.000
1796000,3.984,4.144,4.176,4.144,0.000,0.000
1798000,4.064,4.080,4.048,3.920,0.000,0.000
1800000,4.016,4.144,3.808,4.016,0.000,0.000
1802000,4.016,4.032,4.160,4.048,0.000,0.000
1804000,4.160,3.904,4.288,4.208,0.000,0.000
1806000,4.224,4.240,3.936,4.000,0.000,0.000
1808000,3.856,3.968,4.016,4.048,0.000,0.000
1810000,4.000,4.208,3.920,4.000,0.000,0.000
1812000,4.176,3.616,3.968,4.128,0.000,0.000
1814000,3.904,4.304,4.400,4.048,0.000,0.000
1816000,4.144,4.096,4.048,4.000,0.000,0.000
1818000,4.192,4.080,3.952,4.032,0.000,0.000
1820000,3.728,3.904,3.840,4.288,0.000,0.000
1822000,4.144,3.968,3.984,3.904,0.000,0.000
1824000,4.224,4.272,4.416,4.160,0.000,0.000
1826000,4.032,4.320,3.904,4.048,0.000,0.000
1828000,3.760,3.776,4.128,3.936,0.000,0.000
1830000,4.272,3.872,3.712,4.368,0.000,0.000
1832000,4.176,4.192,4.512,3.840,0.000,0.000
1834000,4.112,4.368,4.032,4.032,0.000,0.000
1836000,3.888,3.600,3.904,3.984,0.000,0.000
1838000,3.808,4.288,3.792,4.304,0.000,0.000
1840000,4.368,3.952,4.368,3.984,0.000,0.000
1842000,4.176,4.048,4.176,3.872,0.000,0.000
1844000,3.856,4.240,3.904,4.192,0.000,0.000
1846000,3.904,4.000,3.920,4.144,0.000,0.000
1848000,4.176,3.984,4.160,4.112,0.000,0.000
1850000,4.160,3.984,4.096,3.664,0.000,0.000
1852000,3.888,4.144,4.032,4.224,0.000,0.000
1854000,4.208,4.048,3.984,4.064,0.000,0.000
1856000,4.096,4.128,4.272,4.240,0.000,0.000
1858000,4.128,3.776,3.904,3.968,0.000,0.000
1860000,3.968,4.496,3.968,3.840,0.000,0.000
1862000,4.016,3.824,4.224,4.304,0.000,0.000
1864000,4.032,4.224,3.808,3.984,0.000,0.000
1866000,4.368,3.888,4.176,4.064,0.000,0.000
